lz,survey,sampled_date,province_name,province_code,district_name,district_code,municipality_name,municipality_code,main_place_name,main_place_code,village_name,village_code,pop,num_sas,approx_coord,village_and_coord
59104: Highveld border open access livestock (ZABOL),both,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Holeka,860038,Holeka SP,860038001,2514,5,"-26.2314, 30.8746","both - Holeka SP: -26.2314, 30.8746"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Kalwerskraal,860026,Kalwerskraal SP,860026001,96,1,"-26.1303, 30.9924","hea - Kalwerskraal SP: -26.1303, 30.9924"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Mafumulo,860041,Mafumulo SP,860041001,1074,2,"-26.2980, 30.8418","hea - Mafumulo SP: -26.2980, 30.8418"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Malahleka,860012,Malahleka SP,860012001,336,1,"-26.0059, 30.7719","hea - Malahleka SP: -26.0059, 30.7719"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Mbejeka,860008,Mbejeka SP B,860008001,384,1,"-25.9705, 30.8584","hea - Mbejeka SP B: -25.9705, 30.8584"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Nhlaba,860021,Nhlaba SP,860021001,786,2,"-26.0800, 30.9980","hea - Nhlaba SP: -26.0800, 30.9980"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Tjakastad,860009,Los-my-cherry,860009002,1866,4,"-26.0031, 30.8063","hea - Los-my-cherry: -26.0031, 30.8063"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Dingledayle,877062,Dingledayle SP,877062001,3396,6,"-24.6995, 31.1186","hea - Dingledayle SP: -24.6995, 31.1186"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Godide,877070,Godide SP,877070001,6309,9,"-24.7280, 31.2421","continuum - Godide SP: -24.7280, 31.2421"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Ludlow,877047,Ludlow SP,877047001,5790,11,"-24.6742, 31.2798","hea - Ludlow SP: -24.6742, 31.2798"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Mahlobyanini,877126,Somerset SP,877126001,3900,7,"-24.9140, 31.3694","hea - Somerset SP: -24.9140, 31.3694"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Tsakani,877021,Tsakani SP,877021001,8910,15,"-24.6190, 31.0506","continuum - Tsakani SP: -24.6190, 31.0506"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,eMakhazeni B,877131,eMakhazeni B SP,877131001,6126,10,"-24.9517, 31.3687","continuum - eMakhazeni B SP: -24.9517, 31.3687"
59201: Lowveld open access mixed farming (ZALCM),both,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Nsikazi,874025,Nsikazi SP,874025001,777,2,"-25.2766, 31.2349","both - Nsikazi SP: -25.2766, 31.2349"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,Mananga,876056,Mananga SP,876056001,2442,4,"-25.9523, 31.8442","continuum - Mananga SP: -25.9523, 31.8442"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,Mbuzini,876054,Mbuzini SP,876054001,9951,15,"-25.9257, 31.9345","hea - Mbuzini SP: -25.9257, 31.9345"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,Mgobode,876050,Mgobode SP,876050001,10125,15,"-25.8620, 31.7039","hea - Mgobode SP: -25.8620, 31.7039"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Allemansdrift,872031,Allemansdrift C,872031001,7830,11,"-25.1146, 28.9089","hea - Allemansdrift C: -25.1146, 28.9089"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Kameelpoort,872049,Kameelpoort SP,872049001,1521,3,"-25.2792, 28.8226","hea - Kameelpoort SP: -25.2792, 28.8226"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Loding,872022,Loding SP,872022002,3900,7,"-25.1114, 28.7579","hea - Loding SP: -25.1114, 28.7579"
59205: Highveld open access mixed income (ZAHMI),continuum,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Madubaduba,872033,Madubaduba SP,872033001,5205,8,"-25.1359, 28.9491","continuum - Madubaduba SP: -25.1359, 28.9491"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Mmamethlake,872019,Mmamethlake SP,872019001,7902,16,"-25.1058, 28.5400","hea - Mmamethlake SP: -25.1058, 28.5400"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Phake,872036,Phaphamang,872036002,1578,3,"-25.1472, 28.4928","hea - Phaphamang: -25.1472, 28.4928"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Pieterskraal,872046,Pieterskraal B,872046001,3177,6,"-25.2020, 28.9650","hea - Pieterskraal B: -25.2020, 28.9650"
59205: Highveld open access mixed income (ZAHMI),continuum,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Thabana,872017,Thabana SP,872017001,4347,7,"-25.0769, 29.0596","continuum - Thabana SP: -25.0769, 29.0596"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Waterval,872040,Waterval A,872040001,7398,12,"-25.1694, 29.0060","hea - Waterval A: -25.1694, 29.0060"
59205: Highveld open access mixed income (ZAHMI),continuum,2016-10-04,Mpumalanga,8,Nkangala,831,Thembisile,871,KwaMhlanga Crossroads,871016,Zakheni,871016001,5085,10,"-25.4054, 28.7109","continuum - Zakheni: -25.4054, 28.7109"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Thembisile,871,Kwaggafontein,871006,Kwaggafontein A,871006001,21660,34,"-25.2959, 28.9430","hea - Kwaggafontein A: -25.2959, 28.9430"
59205: Highveld open access mixed income (ZAHMI),continuum,2016-10-04,Mpumalanga,8,Nkangala,831,Thembisile,871,Kwaggafontein,871006,Kwaggafontein F,871006005,3789,7,"-25.3433, 28.9480","continuum - Kwaggafontein F: -25.3433, 28.9480"
59303: Highveld open access intensive cropping (ZAHIC),both,2016-10-04,Mpumalanga,8,Gert Sibande,830,Mkhondo,862,KwaNgema,862006,KwaNgema SP,862006001,999,2,"-27.0205, 30.4897","both - KwaNgema SP: -27.0205, 30.4897"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Mkhondo,862,Saul Mkhizeville,862005,Saul Mkhizeville SP,862005001,25035,34,"-26.9860, 30.4363","hea - Saul Mkhizeville SP: -26.9860, 30.4363"
59303: Highveld open access intensive cropping (ZAHIC),both,2016-10-04,Mpumalanga,8,Gert Sibande,830,Pixley Ka Seme,863,Daggakraal,863005,Daggakraal SP,863005001,1686,2,"-27.1028, 29.9961","both - Daggakraal SP: -27.1028, 29.9961"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Pixley Ka Seme,863,Daggakraal,863005,Vlakpoort,863005003,13158,17,"-27.1376, 29.9660","hea - Vlakpoort: -27.1376, 29.9660"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Koedoespoort,872011,Koedoespoort SP,872011001,3390,6,"-25.0490, 28.8583","hea - Koedoespoort SP: -25.0490, 28.8583"
59303: Highveld open access intensive cropping (ZAHIC),continuum,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Lefiso,872001,Lefiso SP,872001001,3633,7,"-24.9379, 28.8926","continuum - Lefiso SP: -24.9379, 28.8926"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Lefiswane,872002,Lefiswane SP,872002001,4866,9,"-24.9605, 28.8583","hea - Lefiswane SP: -24.9605, 28.8583"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Marapyane,872008,Marapyane SP,872008001,10854,23,"-25.0083, 28.7897","hea - Marapyane SP: -25.0083, 28.7897"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Ramantsho,872013,Ramantsho SP,872013001,138,1,"-25.0535, 28.7662","hea - Ramantsho SP: -25.0535, 28.7662"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Mpumalanga,8,Nkangala,831,Dr JS Moroka,872,Seabe,872007,Seabe SP,872007001,7707,15,"-25.0257, 28.6961","hea - Seabe SP: -25.0257, 28.6961"
59303: Highveld open access intensive cropping (ZAHIC),continuum,2016-10-04,Mpumalanga,8,Nkangala,831,Thembisile,871,Bhundu,871004,Bhundu SP,871004001,3780,7,"-25.3083, 29.0680","continuum - Bhundu SP: -25.3083, 29.0680"
