pr_name |      dc_name       |     mn_name      |       mp_name       |       sp_name       |  sp_code  | sa_code | pop_cen | pop_curr | mn_pop_cur | dc_pop_curr | pr_pop_curr
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840298 |     654 |      715 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840312 |     663 |      725 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840315 |     666 |      728 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840347 |     708 |      774 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840349 |     714 |      780 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phooko              | Phooko SP           | 984064001 | 9840026 |     330 |      361 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phookwane           | Phookwane SP        | 984066001 | 9840197 |     573 |      626 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phukukane           | Phukukane SP        | 984062001 | 9840072 |     432 |      472 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phukukane           | Phukukane SP        | 984062001 | 9840150 |     525 |      574 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phukukane           | Phukukane SP        | 984062001 | 9840192 |     567 |      620 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phukukane           | Phukukane SP        | 984062001 | 9840227 |     591 |      646 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phukukane           | Phukukane SP        | 984062001 | 9840244 |     612 |      669 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phukukane           | Phukukane SP        | 984062001 | 9840323 |     678 |      741 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Phukukane           | Phukukane SP        | 984062001 | 9840368 |     744 |      813 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Stompo              | Stompo SP           | 984048001 | 9840097 |     468 |      512 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Stompo              | Stompo SP           | 984048001 | 9840171 |     549 |      600 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Stompo              | Stompo SP           | 984048001 | 9840373 |     747 |      817 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ten Morgan          | Ten Morgan SP       | 984060001 | 9840099 |     471 |      515 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ten Morgan          | Ten Morgan SP       | 984060001 | 9840116 |     498 |      544 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840085 |     453 |      495 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840118 |     498 |      544 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840212 |     582 |      636 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840252 |     618 |      676 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840303 |     660 |      721 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840363 |     741 |      810 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840365 |     741 |      810 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840387 |     786 |      859 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Thabakhubedu        | Thabakhubedu SP     | 984073001 | 9840406 |     852 |      931 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Theareng            | Theareng SP         | 984055001 | 9840056 |     411 |      449 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Theareng            | Theareng SP         | 984055001 | 9840086 |     453 |      495 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Uitspanning A       | Uitspanning A SP    | 984068001 | 9840148 |     525 |      574 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Uitspanning A       | Uitspanning A SP    | 984068001 | 9840178 |     561 |      613 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Uitspanning B       | Uitspanning B SP    | 984067001 | 9840165 |     546 |      597 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Uitspanning B       | Uitspanning B SP    | 984067001 | 9840187 |     567 |      620 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Witfontein          | Witfontein SP       | 984057001 | 9840234 |     600 |      656 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Witfontein          | Witfontein SP       | 984057001 | 9840289 |     645 |      705 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Witfontein          | Witfontein SP       | 984057001 | 9840364 |     738 |      807 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Witfontein          | Witfontein SP       | 984057001 | 9840409 |     849 |      928 |     272621 |     1176939 |     5826386
(137 rows)
