 ea_code  |  sp_code  |       sp_name        | mp_code |        mp_name        | mn_code |     mn_name     | dc_code | dc_mdb_code |      dc_name       |  pr_name   |  survey   
 87710632 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710973 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710974 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710977 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710978 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710980 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710981 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710983 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710984 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710985 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710986 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710987 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710988 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710989 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710990 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710991 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710997 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87711027 | 877021001 | Tsakani SP           |  877021 | Tsakani               |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710121 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710122 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710123 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710124 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710125 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710126 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710127 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710128 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710129 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710130 | 877131001 | eMakhazeni B SP      |  877131 | eMakhazeni B          |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410867 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
